,label,0.0,5.0,10.0,15.0,20.0,25.0
54,stdRate,0.0713631875177,0.0925832152457,,,,
55,meanRate,0.128744398019,0.133625411726,0.148520616372,0.488502386276,0.413791522135,0.0741210237092
55,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
55,stdRate,0.151570301756,0.102268040748,,,,
56,meanRate,0.278830128504,0.445982176426,0.780541938447,0.749859304236,0.683796256468,1.16797017971
56,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
56,stdRate,0.33607438228,0.328785027136,,,,
57,meanRate,0.236339896752,0.228846874642,0.109401078274,-0.122232629363,0.281968795726,-0.0210328490734
57,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
57,stdRate,0.231305341908,0.422135643772,,,,
58,meanRate,0.0363857970906,-0.10670387607,-0.115024785245,-0.28004914691,-0.0212443642174,0.115163147793
58,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
58,stdRate,0.0797777787487,0.0773466551985,,,,
59,meanRate,0.0589148539575,0.0434151456325,0.0416426093266,-0.160338296294,0.0892177641036,0.299339737953
59,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
59,stdRate,0.0943318217119,0.0771487318089,,,,
60,meanRate,0.0413807028981,0.137105321244,0.0835809435645,0.134416673385,-0.113367665893,0.407818953145
60,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
60,stdRate,0.0884254986446,0.0863131910316,,,,
61,meanRate,0.0304254371847,0.0924981188073,0.0107654315021,-0.031503150315,-0.122663273039,-0.0156995565328
61,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
61,stdRate,0.0632634174831,0.137080490089,,,,
62,meanRate,0.252612285927,0.175660941874,-0.0134604741997,-0.0627615062762,0.0621027415511,-0.0261267145656
62,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
62,stdRate,0.236012031167,0.168870795998,,,,
63,meanRate,0.000214683693046,0.0603960049617,-0.144433861432,-0.091249916884,0.028353230579,-0.110351194215
63,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
63,stdRate,0.0645450097115,0.13134481076,,,,
64,meanRate,0.0826812293525,0.307188166387,0.487557256773,0.396513689825,0.424764979732,0.431081592074
64,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
64,stdRate,0.189713590364,0.273016854859,,,,
65,meanRate,0.116550108435,0.138685213443,-0.0505475193508,0.452533630379,0.137108469969,-0.0721180956074
65,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
65,stdRate,0.0941558336626,0.113619379091,,,,
66,meanRate,-0.0188020438555,-0.0157400705909,-0.0353334933998,0.0532518433886,0.0494943964717,-0.00879824486968
66,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
66,stdRate,0.0666426604182,0.0565928184037,,,,
67,meanRate,0.0843547318426,0.279292406475,0.421095450558,0.472186570423,0.15891086839,0.409345540363
67,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
67,stdRate,0.129032478144,0.0689753295913,,,,
68,meanRate,0.00881684767059,-0.0306141292543,-0.0644952926214,0.000717530971257,0.0278239090728,0.097503936698
68,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
68,stdRate,0.091007663928,0.0820298281454,,,,
69,meanRate,0.025231421321,0.00632782699472,-0.00749021422525,-0.0249574108897,-0.0177855200871,-0.0735647565979
69,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
69,stdRate,0.0147249463884,0.0483896714462,,,,
70,meanRate,0.175417123308,0.0956116180928,-0.0566595981461,0.0925562363121,-0.0242473948975,-0.129766203705
70,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
70,stdRate,0.250305176063,0.137520768911,,,,
71,meanRate,0.494801414255,0.0281365089438,0.0972731954007,0.0748449968895,-0.0381591910966,0.348254708136
71,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
71,stdRate,0.955570456597,0.137359727498,,,,
72,meanRate,0.177875845405,0.266275521111,0.132929239692,0.200808919616,-0.0621252198977,0.237733392917
72,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
72,stdRate,0.215966822954,0.288958130754,,,,
73,meanRate,0.80551458245,0.426520225401,-0.0166739197055,0.0502197504589,0.136265441903,0.0649918266358
73,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
73,stdRate,0.891906511996,0.662865927348,,,,
74,meanRate,0.0895932405325,0.0535019289808,-0.135830096336,-0.230314370188,-0.0170233796035,-0.200399076465
74,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
74,stdRate,0.128644295116,0.0682767224621,,,,
75,meanRate,0.074579484585,-0.00993441447521,0.169061711657,0.0794037145558,0.0574309726265,-0.258898229762
75,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
75,stdRate,0.0861190619898,0.0844832140667,,,,
76,meanRate,-0.0106344350819,0.009596401707,0.0358331500355,0.214866434379,0.255934167137,0.239644296565
76,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
76,stdRate,0.0388995999981,0.0925180792512,,,,
77,meanRate,0.0694122493876,0.0672868445344,0.257063645898,-0.0157677777658,0.138588150341,0.151219984717
77,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
77,stdRate,0.0378710648539,0.071241494398,,,,
78,meanRate,0.0818470216166,-0.00347390318204,0.038428788341,-0.00236456042311,0.0436396510574,-0.402631406609
78,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
78,stdRate,0.120213596534,0.0285115715851,,,,
79,meanRate,0.337668611877,0.053861958501,-0.19528447211,-0.312363676234,-0.0689210590219,0.23778707731
79,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
79,stdRate,0.27839812324,0.184355196916,,,,
80,meanRate,0.169120333615,0.149218168377,0.287846855658,0.477147540288,0.491548452101,0.642731425287
80,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
80,stdRate,0.186288951788,0.210138848819,,,,
81,meanRate,-0.00710056846766,0.0382935798031,0.096419335156,0.264001613829,0.115470983468,0.0098808334864
81,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
81,stdRate,0.0429435531905,0.00195582884868,,,,
82,meanRate,-0.012426067915,-0.0346307651923,-0.13786893273,0.164715447177,0.0542895802202,0.0370027752081
82,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
82,stdRate,0.0531663787681,0.126833818292,,,,
